"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"05.11.2015 16:55:00";"2";"0";"72";"1,57";"8388608";"838022";"9,99";"0";"8";"64";"5";"5"
"05.11.2015 17:00:00";"2";"0";"72";"1,57";"8388608";"1089680";"12,99";"0";"8";"64";"6";"6"
"05.11.2015 17:05:00";"2";"0";"74";"1,62";"8388608";"989017";"11,79";"0";"8";"64";"5";"5"
"05.11.2015 17:10:00";"2";"0";"72";"1,58";"8388608";"1156789";"13,79";"0";"8";"64";"5";"5"
"05.11.2015 17:15:00";"2";"0";"69";"1,51";"8388608";"1022571";"12,19";"0";"8";"64";"5";"5"
"05.11.2015 17:20:00";"2";"0";"73";"1,59";"8388608";"955462";"11,39";"0";"9";"64";"6";"5"
"05.11.2015 17:25:00";"2";"0";"82";"1,79";"8388608";"1307784";"15,59";"0";"9";"64";"5";"5"
"05.11.2015 17:30:00";"2";"0";"69";"1,52";"8388608";"1291007";"15,39";"0";"8";"64";"5";"5"
"05.11.2015 17:35:00";"2";"0";"74";"1,61";"8388608";"1056126";"12,59";"0";"8";"64";"5";"5"
"05.11.2015 17:40:00";"2";"0";"71";"1,56";"8388608";"955462";"11,39";"0";"8";"64";"5";"5"
"05.11.2015 17:45:00";"2";"0";"73";"1,59";"8388608";"888354";"10,59";"0";"8";"64";"6";"6"
